id,Source,worth BUSD, worthChange millions USD
8963,Real Estate  ==> real estate,4,0
4405,Automotive  ==> motorcycles,4,0
2371,Food and Beverage  ==> candy,4,0
9120,Gambling & Casinos  ==> casinos,4,0
7613,Media & Entertainment  ==> Marvel comics,4,0
5559,"Diversified  ==> computer services, real estate",4,0
8803,Manufacturing  ==> kitchen appliances,4,0
6858,"Finance and Investments  ==> hotels, investments",4,0
8381,Finance and Investments  ==> hedge funds,4,0
4228,Fashion & Retail  ==> fashion,4,0
9194,Real Estate  ==> real estate,4,23
7277,Telecom  ==> mobile phone retailer,4,0
1885,Technology  ==> Snapchat,4,0
2945,Technology  ==> e-commerce,4,0
8955,Energy  ==> pipelines,4,0
4176,Real Estate  ==> real estate,4,0
1145,Real Estate  ==> retail,4,0
3616,Healthcare  ==> medical technology,4,0
4442,Fashion & Retail  ==> furniture retailing,4,0
2376,Technology  ==> Dolby Laboratories,4,0
5308,"Healthcare  ==> pharmaceuticals, medical equipment",4,0
8759,Automotive  ==> Toyota dealerships,4,0
1211,Fashion & Retail  ==> retail,4,0
8537,Real Estate  ==> real estate,4,0
2446,Construction & Engineering  ==> construction,4,0
3011,Fashion & Retail  ==> Estee Lauder,4,0
2399,Fashion & Retail  ==> sporting goods,4,0
1541,Technology  ==> venture capital,4,3
5004,Food and Beverage  ==> food,4,0
3983,Telecom  ==> telecom,4,0
7592,Fashion & Retail  ==> Best Buy,4,0
7795,Healthcare  ==> healthcare,4,0
6612,Real Estate  ==> real estate,4,0
8008,Food and Beverage  ==> food,4,0
4884,Logistics  ==> package delivery,4,0
2713,Metals & Mining  ==> aluminum,4,0
5616,Technology  ==> software,4,0
1340,Diversified  ==> diversified,3,0
9711,Real Estate  ==> real estate,3,0
1576,Finance and Investments  ==> private equity,3,0
6351,Finance and Investments  ==> financial services,3,0
5631,Finance and Investments  ==> coffee,3,0
5725,Finance and Investments  ==> coffee,3,0
5902,Fashion & Retail  ==> retail,3,0
3223,Technology  ==> electronics,3,0
7731,Diversified  ==> diversified,3,0
1596,Construction & Engineering  ==> construction,3,0
5399,"Food and Beverage  ==> agriculture, water",3,0
7963,Real Estate  ==> real estate,3,0
1937,Food and Beverage  ==> agriculture,3,0
6423,Finance and Investments  ==> banking,3,0
7750,Service  ==> aircraft leasing,3,0
1184,Healthcare  ==> dental implants,3,0
9968,Technology  ==> Airbnb,3,0
4234,Media & Entertainment  ==> publishing,3,0
2761,Finance and Investments  ==> insurance,3,0
5173,Technology  ==> Airbnb,3,0
4680,Diversified  ==> investments,3,-71
6780,Technology  ==> Airbnb,3,0
1391,Construction & Engineering  ==> homebuilding,3,0
4022,"Real Estate  ==> real estate, investments",3,0
2801,Manufacturing  ==> chemicals,3,0
3479,Finance and Investments  ==> diversified,3,0
9947,Real Estate  ==> real estate,3,0
8472,"Sports  ==> energy, sports",3,0
4611,Fashion & Retail  ==> shoes,3,0
1199,Real Estate  ==> real estate,3,0
3124,Finance and Investments  ==> investments,3,0
9736,Technology  ==> semiconductors,3,0
4532,Technology  ==> smartphone components,3,0
9712,Diversified  ==> diversified,3,-8
8275,Food and Beverage  ==> beverages,3,0
2764,Media & Entertainment  ==> online media,3,0
4512,Finance and Investments  ==> money management,3,0
1852,Finance and Investments  ==> banking,3,0
5360,Finance and Investments  ==> hedge funds,3,0
7072,Manufacturing  ==> cleaning products,3,0
6034,Manufacturing  ==> cleaning products,3,0
3619,Manufacturing  ==> cleaning products,3,0
4785,Manufacturing  ==> cleaning products,3,0
1402,Manufacturing  ==> cleaning products,3,0
9077,"Manufacturing  ==> fertilizer, real estate",3,0
5704,Construction & Engineering  ==> real estate,3,0
1530,Finance and Investments  ==> finance,3,0
